,date,price ($/Gal)
309,2021-12-14,2.076
310,2021-12-13,2.103
311,2021-12-10,2.125
312,2021-12-09,2.103
313,2021-12-08,2.127
314,2021-12-07,2.088
315,2021-12-06,2.035
316,2021-12-03,1.935
317,2021-12-02,1.93
318,2021-12-01,1.88
319,2021-11-30,1.882
320,2021-11-29,1.965
321,2021-11-24,2.198
322,2021-11-23,2.195
323,2021-11-22,2.123
324,2021-11-19,2.09
325,2021-11-18,2.187
326,2021-11-17,2.175
327,2021-11-16,2.239
328,2021-11-15,2.21
329,2021-11-12,2.214
330,2021-11-11,2.245
331,2021-11-10,2.258
332,2021-11-09,2.319
333,2021-11-08,2.273
334,2021-11-05,2.253
335,2021-11-04,2.212
336,2021-11-03,2.221
337,2021-11-02,2.3
338,2021-11-01,2.301
339,2021-10-29,2.285
340,2021-10-28,2.278
341,2021-10-27,2.271
342,2021-10-26,2.339
343,2021-10-25,2.326
344,2021-10-22,2.312
345,2021-10-21,2.314
346,2021-10-20,2.353
347,2021-10-19,2.322
348,2021-10-18,2.305
349,2021-10-15,2.36
350,2021-10-14,2.361
351,2021-10-13,2.314
352,2021-10-12,2.299
353,2021-10-11,2.309
354,2021-10-08,2.263
355,2021-10-07,2.257
356,2021-10-06,2.22
357,2021-10-05,2.278
358,2021-10-04,2.284
359,2021-10-01,2.168
360,2021-09-30,2.201
361,2021-09-29,2.124
362,2021-09-28,2.105
363,2021-09-27,2.115
364,2021-09-24,2.08
365,2021-09-23,2.053
366,2021-09-22,2.015
367,2021-09-21,1.989
368,2021-09-20,1.972
369,2021-09-17,2.021
370,2021-09-16,2.022
371,2021-09-15,2.015
372,2021-09-14,1.965
373,2021-09-13,1.955
374,2021-09-10,1.922
375,2021-09-09,1.893
376,2021-09-08,1.916
377,2021-09-07,1.907
378,2021-09-03,1.949
379,2021-09-02,1.942
380,2021-09-01,1.907
381,2021-08-31,1.921
382,2021-08-30,1.918
383,2021-08-27,1.879
384,2021-08-26,1.842
385,2021-08-25,1.88
386,2021-08-24,1.842
387,2021-08-23,1.769
388,2021-08-20,1.645
389,2021-08-19,1.71
390,2021-08-18,1.742
391,2021-08-17,1.782
392,2021-08-16,1.795
393,2021-08-13,1.806
394,2021-08-12,1.838
395,2021-08-11,1.843
396,2021-08-10,1.816
397,2021-08-09,1.791
398,2021-08-06,1.804
399,2021-08-05,1.821
400,2021-08-04,1.789
401,2021-08-03,1.858
402,2021-08-02,1.887
403,2021-07-30,1.936
404,2021-07-29,1.94
405,2021-07-28,1.901
406,2021-07-27,1.899
407,2021-07-26,1.913
408,2021-07-23,1.89
409,2021-07-22,1.886
410,2021-07-21,1.839
411,2021-07-20,1.846
412,2021-07-19,1.747
413,2021-07-16,1.865
414,2021-07-15,1.864
415,2021-07-14,1.904
416,2021-07-13,1.954
417,2021-07-12,1.923
418,2021-07-09,1.902
419,2021-07-08,1.878
420,2021-07-07,1.837
421,2021-07-06,1.87
422,2021-07-02,1.934
423,2021-07-01,1.897
424,2021-06-30,1.883
425,2021-06-29,1.884
426,2021-06-28,1.876
427,2021-06-25,1.882
428,2021-06-24,1.903
429,2021-06-23,1.939
430,2021-06-22,1.933
431,2021-06-21,1.899
432,2021-06-18,1.863
433,2021-06-17,1.826
434,2021-06-16,1.834
435,2021-06-15,1.855
436,2021-06-14,1.847
437,2021-06-11,1.822
438,2021-06-10,1.841
439,2021-06-09,1.819
440,2021-06-08,1.854
441,2021-06-07,1.829
442,2021-06-04,1.828
443,2021-06-03,1.818
444,2021-06-02,1.823
445,2021-06-01,1.797
446,2021-05-28,1.759
447,2021-05-27,1.773
448,2021-05-26,1.763
449,2021-05-25,1.75
450,2021-05-24,1.765
451,2021-05-21,1.699
452,2021-05-20,1.672
453,2021-05-19,1.738
454,2021-05-18,1.772
455,2021-05-17,1.777
456,2021-05-14,1.775
457,2021-05-13,1.736
458,2021-05-12,1.81
459,2021-05-11,1.77
460,2021-05-10,1.749
461,2021-05-07,1.75
462,2021-05-06,1.749
463,2021-05-05,1.755
464,2021-05-04,1.762
465,2021-05-03,1.722
466,2021-04-30,1.689
467,2021-04-29,1.729
468,2021-04-28,1.724
469,2021-04-27,1.703
470,2021-04-26,1.673
471,2021-04-23,1.67
472,2021-04-22,1.661
473,2021-04-21,1.644
474,2021-04-20,1.682
475,2021-04-19,1.701
476,2021-04-16,1.699
477,2021-04-15,1.71
478,2021-04-14,1.696
479,2021-04-13,1.632
480,2021-04-12,1.623
481,2021-04-09,1.805
482,2021-04-08,1.61
483,2021-04-07,1.604
484,2021-04-06,1.596
485,2021-04-05,1.582
486,2021-04-01,1.624
487,2021-03-31,1.571
488,2021-03-30,1.588
489,2021-03-29,1.61
490,2021-03-26,1.604
491,2021-03-25,1.573
492,2021-03-24,1.645
493,2021-03-23,1.54
494,2021-03-22,1.633
495,2021-03-19,1.622
496,2021-03-18,1.579
497,2021-03-17,1.686
498,2021-03-16,1.728
499,2021-03-15,1.748
500,2021-03-12,1.76
501,2021-03-11,1.76
502,2021-03-10,1.722
503,2021-03-09,1.702
504,2021-03-08,1.71
505,2021-03-05,1.769
506,2021-03-04,1.719
507,2021-03-03,1.655
508,2021-03-02,1.636
509,2021-03-01,1.645
510,2021-02-26,1.682
511,2021-02-25,1.729
512,2021-02-24,1.754
513,2021-02-23,1.717
514,2021-02-22,1.671
515,2021-02-19,1.618
516,2021-02-18,1.624
517,2021-02-17,1.659
518,2021-02-16,1.632
519,2021-02-12,1.581
520,2021-02-11,1.554
521,2021-02-10,1.569
522,2021-02-09,1.569
523,2021-02-08,1.567
524,2021-02-05,1.527
525,2021-02-04,1.521
526,2021-02-03,1.505
527,2021-02-02,1.484
528,2021-02-01,1.454
529,2021-01-29,1.417
530,2021-01-28,1.418
531,2021-01-27,1.424
532,2021-01-26,1.409
533,2021-01-25,1.464
534,2021-01-22,1.421
535,2021-01-21,1.444
536,2021-01-20,1.442
537,2021-01-19,1.443
538,2021-01-15,1.433
539,2021-01-14,1.473
540,2021-01-13,1.462
541,2021-01-12,1.463
542,2021-01-11,1.412
543,2021-01-08,1.424
544,2021-01-07,1.38
545,2021-01-06,1.371
546,2021-01-05,1.376
547,2021-01-04,1.312
548,2020-12-31,1.34
549,2020-12-30,1.355
550,2020-12-29,1.353
551,2020-12-28,1.343
552,2020-12-24,1.36
553,2020-12-23,1.363
554,2020-12-22,1.324
555,2020-12-21,1.35
556,2020-12-18,1.388
557,2020-12-17,1.373
558,2020-12-16,1.35
559,2020-12-15,1.346
560,2020-12-14,1.338
561,2020-12-11,1.314
562,2020-12-10,1.306
563,2020-12-09,1.281
564,2020-12-08,1.295
565,2020-12-07,1.286
566,2020-12-04,1.282
567,2020-12-03,1.295
568,2020-12-02,1.251
569,2020-12-01,1.231
570,2020-11-30,1.239
571,2020-11-25,1.264
572,2020-11-24,1.246
573,2020-11-23,1.189
574,2020-11-20,1.185
575,2020-11-19,1.151
576,2020-11-18,1.132
577,2020-11-17,1.106
578,2020-11-16,1.107
579,2020-11-13,1.103
580,2020-11-12,1.126
581,2020-11-11,1.145
582,2020-11-10,1.154
583,2020-11-09,1.123
584,2020-11-06,1.053
585,2020-11-05,1.074
586,2020-11-04,1.07
587,2020-11-03,1.037
588,2020-11-02,1.016
589,2020-10-30,0.987
590,2020-10-29,0.986
591,2020-10-28,1.009
592,2020-10-27,1.054
593,2020-10-26,1.024
594,2020-10-23,1.049
595,2020-10-22,1.054
596,2020-10-21,1.038
597,2020-10-20,1.082
598,2020-10-19,1.077
599,2020-10-16,1.076
600,2020-10-15,1.088
601,2020-10-14,1.092
602,2020-10-13,1.064
603,2020-10-12,1.062
604,2020-10-09,1.095
605,2020-10-08,1.087
606,2020-10-07,1.058
607,2020-10-06,1.067
608,2020-10-05,1.028
609,2020-10-02,0.96
610,2020-10-01,1.003
611,2020-09-30,1.038
612,2020-09-29,0.968
613,2020-09-28,1.005
614,2020-09-25,0.99
615,2020-09-24,0.981
616,2020-09-23,0.953
617,2020-09-22,0.956
618,2020-09-21,0.986
619,2020-09-18,1.031
620,2020-09-17,1.041
621,2020-09-16,1.004
622,2020-09-15,0.991
623,2020-09-14,0.988
624,2020-09-11,0.994
625,2020-09-10,0.959
626,2020-09-09,1.005
627,2020-09-08,0.978
628,2020-09-04,1.041
629,2020-09-03,1.049
630,2020-09-02,1.071
631,2020-09-01,1.104
632,2020-08-31,1.104
633,2020-08-28,1.117
634,2020-08-27,1.105
635,2020-08-26,1.16
636,2020-08-25,1.149
637,2020-08-24,1.11
638,2020-08-21,1.076
639,2020-08-20,1.107
640,2020-08-19,1.094
641,2020-08-18,1.123
642,2020-08-17,1.108
643,2020-08-14,1.097
644,2020-08-13,1.097
645,2020-08-12,1.119
646,2020-08-11,1.122
647,2020-08-10,1.115
648,2020-08-07,1.094
649,2020-08-06,1.127
650,2020-08-05,1.127
651,2020-08-04,1.111
652,2020-08-03,1.095
653,2020-07-31,1.087
654,2020-07-30,1.083
655,2020-07-29,1.117
656,2020-07-28,1.101
657,2020-07-27,1.134
658,2020-07-24,1.112
659,2020-07-23,1.11
660,2020-07-22,1.114
661,2020-07-21,1.119
662,2020-07-20,1.077
663,2020-07-17,1.061
664,2020-07-16,1.068
665,2020-07-15,1.101
666,2020-07-14,1.073
667,2020-07-13,1.066
668,2020-07-10,1.091
669,2020-07-09,1.071
670,2020-07-08,1.067
671,2020-07-07,1.063
672,2020-07-06,1.072
673,2020-07-02,1.04
674,2020-07-01,1.025
675,2020-06-30,1.02
676,2020-06-29,1.006
677,2020-06-26,0.971
678,2020-06-25,1.007
679,2020-06-24,1.001
680,2020-06-23,1.05
681,2020-06-22,1.08
682,2020-06-19,1.063
683,2020-06-18,1.059
684,2020-06-17,1.039
685,2020-06-16,1.049
686,2020-06-15,1.001
687,2020-06-12,0.964
688,2020-06-11,0.921
689,2020-06-10,0.981
690,2020-06-09,0.97
691,2020-06-08,0.938
692,2020-06-05,0.962
693,2020-06-04,0.896
694,2020-06-03,0.878
695,2020-06-02,0.913
696,2020-06-01,0.856
697,2020-05-29,0.856
698,2020-05-28,0.8
699,2020-05-27,0.786
700,2020-05-26,0.813
701,2020-05-22,0.813
702,2020-05-21,0.823
703,2020-05-20,0.824
704,2020-05-19,0.773
705,2020-05-18,0.822
706,2020-05-15,0.725
707,2020-05-14,0.703
708,2020-05-13,0.637
709,2020-05-12,0.629
710,2020-05-11,0.555
711,2020-05-08,0.579
712,2020-05-07,0.518
713,2020-05-06,0.504
714,2020-05-05,0.574
715,2020-05-04,0.503
716,2020-05-01,0.48
717,2020-04-30,0.517
718,2020-04-29,0.485
719,2020-04-28,0.416
720,2020-04-27,0.407
721,2020-04-24,0.453
722,2020-04-23,0.497
723,2020-04-22,0.507
724,2020-04-21,0.453
725,2020-04-20,0.6
726,2020-04-17,0.667
727,2020-04-16,0.653
728,2020-04-15,0.625
729,2020-04-14,0.662
730,2020-04-13,0.707
731,2020-04-09,0.69
732,2020-04-08,0.731
733,2020-04-07,0.729
734,2020-04-06,0.765
735,2020-04-03,0.808
736,2020-04-02,0.705
737,2020-04-01,0.65
738,2020-03-31,0.697
739,2020-03-30,0.725
740,2020-03-27,0.766
741,2020-03-26,0.728
742,2020-03-25,0.692
743,2020-03-24,0.687
744,2020-03-23,0.697
745,2020-03-20,0.716
746,2020-03-19,0.777
747,2020-03-18,0.724
748,2020-03-17,0.838
749,2020-03-16,0.836
750,2020-03-13,0.977
751,2020-03-12,0.945
752,2020-03-11,1.057
753,2020-03-10,1.112
754,2020-03-09,1.039
755,2020-03-06,1.275
756,2020-03-05,1.379
757,2020-03-04,1.438
758,2020-03-03,1.43
759,2020-03-02,1.438
760,2020-02-28,1.381
761,2020-02-27,1.384
762,2020-02-26,1.412
763,2020-02-25,1.466
764,2020-02-24,1.511
765,2020-02-21,1.582
766,2020-02-20,1.583
767,2020-02-19,1.584
768,2020-02-18,1.559
769,2020-02-14,1.591
770,2020-02-13,1.576
771,2020-02-12,1.56
772,2020-02-11,1.5
773,2020-02-10,1.491
774,2020-02-07,1.522
775,2020-02-06,1.553
776,2020-02-05,1.52
777,2020-02-04,1.451
778,2020-02-03,1.45
779,2020-01-31,1.504
780,2020-01-30,1.584
781,2020-01-29,1.62
782,2020-01-28,1.641
783,2020-01-27,1.598
784,2020-01-24,1.665
785,2020-01-23,1.702
786,2020-01-22,1.711
787,2020-01-21,1.736
788,2020-01-17,1.773
789,2020-01-16,1.774
790,2020-01-15,1.792
791,2020-01-14,1.822
792,2020-01-13,1.821
793,2020-01-10,1.856
794,2020-01-09,1.874
795,2020-01-08,1.892
796,2020-01-07,1.949
797,2020-01-06,1.941
798,2020-01-03,1.972
799,2020-01-02,1.934
800,2019-12-31,1.942
801,2019-12-30,1.965
802,2019-12-27,1.98
803,2019-12-26,1.977
804,2019-12-24,1.961
805,2019-12-23,1.946
806,2019-12-20,1.931
807,2019-12-19,1.936
808,2019-12-18,1.913
809,2019-12-17,1.922
810,2019-12-16,1.887
811,2019-12-13,1.865
812,2019-12-12,1.839
813,2019-12-11,1.822
814,2019-12-10,1.857
815,2019-12-09,1.83
816,2019-12-06,1.842
817,2019-12-05,1.833
818,2019-12-04,1.834
819,2019-12-03,1.799
820,2019-12-02,1.796
821,2019-11-27,1.851
822,2019-11-26,1.858
823,2019-11-25,1.85
824,2019-11-22,1.843
825,2019-11-21,1.828
826,2019-11-20,1.774
827,2019-11-19,1.725
828,2019-11-18,1.77
829,2019-11-15,1.83
830,2019-11-14,1.801
831,2019-11-13,1.824
832,2019-11-12,1.801
833,2019-11-08,1.827
834,2019-11-07,1.821
835,2019-11-06,1.833
836,2019-11-05,1.866
837,2019-11-04,1.829
838,2019-11-01,1.856
839,2019-10-31,1.8
840,2019-10-30,1.829
841,2019-10-29,1.871
842,2019-10-28,1.88
843,2019-10-25,1.906
844,2019-10-24,1.92
845,2019-10-23,1.9
846,2019-10-22,1.881
847,2019-10-21,1.874
848,2019-10-18,1.869
849,2019-10-17,1.884
850,2019-10-16,1.871
851,2019-10-15,1.844
852,2019-10-14,1.837
853,2019-10-11,1.883
854,2019-10-10,1.856
855,2019-10-09,1.854
856,2019-10-08,1.849
857,2019-10-07,1.856
858,2019-10-04,1.847
859,2019-10-03,1.827
860,2019-10-02,1.818
861,2019-10-01,1.85
862,2019-09-30,1.852
863,2019-09-27,1.903
864,2019-09-26,1.902
865,2019-09-25,1.902
866,2019-09-24,1.907
867,2019-09-23,1.942
868,2019-09-20,1.957
869,2019-09-19,1.946
870,2019-09-18,1.91
871,2019-09-17,1.918
872,2019-09-16,1.972
873,2019-09-13,1.798
874,2019-09-12,1.816
875,2019-09-11,1.836
876,2019-09-10,1.861
877,2019-09-09,1.857
878,2019-09-06,1.83
879,2019-09-05,1.826
880,2019-09-04,1.827
881,2019-09-03,1.784
882,2019-08-30,1.811
883,2019-08-29,1.835
884,2019-08-28,1.824
885,2019-08-27,1.789
886,2019-08-26,1.772
887,2019-08-23,1.787
888,2019-08-22,1.814
889,2019-08-21,1.829
890,2019-08-20,1.823
891,2019-08-19,1.803
892,2019-08-16,1.769
893,2019-08-15,1.768
894,2019-08-14,1.8
895,2019-08-13,1.836
896,2019-08-12,1.766
897,2019-08-09,1.76
898,2019-08-08,1.752
899,2019-08-07,1.743
900,2019-08-06,1.797
901,2019-08-05,1.817
902,2019-08-02,1.852
903,2019-08-01,1.86
904,2019-07-31,1.948
905,2019-07-30,1.953
906,2019-07-29,1.911
907,2019-07-26,1.902
908,2019-07-25,1.895
909,2019-07-24,1.905
910,2019-07-23,1.921
911,2019-07-22,1.9
912,2019-07-19,1.892
913,2019-07-18,1.877
914,2019-07-17,1.878
915,2019-07-16,1.905
916,2019-07-15,1.962
917,2019-07-12,2.001
918,2019-07-11,2.005
919,2019-07-10,1.984
920,2019-07-09,1.89
921,2019-07-08,1.865
922,2019-07-03,1.877
923,2019-07-02,1.867
924,2019-07-01,1.915
925,2019-06-28,1.888
926,2019-06-27,1.915
927,2019-06-26,1.928
928,2019-06-25,1.882
929,2019-06-24,1.872
930,2019-06-21,1.884
931,2019-06-20,1.857
932,2019-06-19,1.8
933,2019-06-18,1.797
934,2019-06-17,1.765
935,2019-06-14,1.793
936,2019-06-13,1.771
937,2019-06-12,1.741
938,2019-06-11,1.8
939,2019-06-10,1.783
940,2019-06-07,1.799
941,2019-06-06,1.778
942,2019-06-05,1.738
943,2019-06-04,1.785
944,2019-06-03,1.761
945,2019-05-31,1.802
946,2019-05-30,1.875
947,2019-05-29,1.922
948,2019-05-28,1.939
949,2019-05-24,1.943
950,2019-05-23,1.905
951,2019-05-22,1.984
952,2019-05-21,2.038
953,2019-05-20,2.023
954,2019-05-17,2.043
955,2019-05-16,2.072
956,2019-05-15,2.028
957,2019-05-14,1.997
958,2019-05-13,1.97
959,2019-05-10,1.998
960,2019-05-09,1.977
961,2019-05-08,1.986
962,2019-05-07,1.955
963,2019-05-06,1.992
964,2019-05-03,1.977
965,2019-05-02,1.976
966,2019-05-01,2.006
967,2019-04-30,1.99
968,2019-04-29,1.969
969,2019-04-26,1.958
970,2019-04-25,2.022
971,2019-04-24,2.016
972,2019-04-23,2.032
973,2019-04-22,2.021
974,2019-04-18,1.986
975,2019-04-17,1.979
976,2019-04-16,1.989
977,2019-04-15,1.969
978,2019-04-12,1.977
979,2019-04-11,1.986
980,2019-04-10,1.993
981,2019-04-09,1.969
982,2019-04-08,1.979
983,2019-04-05,1.967
984,2019-04-04,1.934
985,2019-04-03,1.931
986,2019-04-02,1.932
987,2019-04-01,1.916
988,2019-03-29,1.896
989,2019-03-28,1.897
990,2019-03-27,1.903
991,2019-03-26,1.915
992,2019-03-25,1.907
993,2019-03-22,1.882
994,2019-03-21,1.904
995,2019-03-20,1.923
996,2019-03-19,1.905
997,2019-03-18,1.886
998,2019-03-15,1.886
999,2019-03-14,1.894
1000,2019-03-13,1.906
1001,2019-03-12,1.884
1002,2019-03-11,1.894
1003,2019-03-08,1.897
1004,2019-03-07,1.898
1005,2019-03-06,1.906
1006,2019-03-05,1.913
1007,2019-03-04,1.915
1008,2019-03-01,1.924
1009,2019-02-28,1.955
1010,2019-02-27,1.953
1011,2019-02-26,1.933
1012,2019-02-25,1.905
1013,2019-02-22,1.957
1014,2019-02-21,1.969
1015,2019-02-20,1.954
1016,2019-02-19,1.995
1017,2019-02-15,2.017
1018,2019-02-14,1.91
1019,2019-02-13,1.875
1020,2019-02-12,1.845
1021,2019-02-11,1.833
1022,2019-02-08,1.863
1023,2019-02-07,1.851
1024,2019-02-06,1.872
1025,2019-02-05,1.856
1026,2019-02-04,1.866
1027,2019-02-01,1.865
1028,2019-01-31,1.841
1029,2019-01-30,1.858
1030,2019-01-29,1.851
1031,2019-01-28,1.797
1032,2019-01-25,1.836
1033,2019-01-24,1.819
1034,2019-01-23,1.821
1035,2019-01-22,1.828
1036,2019-01-18,1.836
1037,2019-01-17,1.806
1038,2019-01-16,1.821
1039,2019-01-15,1.805
1040,2019-01-14,1.796
1041,2019-01-11,1.826
1042,2019-01-10,1.842
1043,2019-01-09,1.823
1044,2019-01-08,1.758
1045,2019-01-07,1.714
1046,2019-01-04,1.711
1047,2019-01-03,1.658
1048,2019-01-02,1.607
1049,2018-12-28,1.564
1050,2018-12-27,1.596
1051,2018-12-26,1.64
1052,2018-12-21,1.619
1053,2018-12-20,1.65
1054,2018-12-19,1.699
1055,2018-12-18,1.663
1056,2018-12-17,1.701
1057,2018-12-14,1.743
1058,2018-12-13,1.786
1059,2018-12-12,1.744
1060,2018-12-11,1.742
1061,2018-12-10,1.742
1062,2018-12-07,1.787
1063,2018-12-06,1.768
1064,2018-12-05,1.791
1065,2018-12-04,1.79
1066,2018-12-03,1.79
1067,2018-11-30,1.728
1068,2018-11-29,1.741
